"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.279600417E0,7.781408727E-3,4.652313888E-3,-3.159523010E-3
1.284472657E0,1.612444967E-2,-8.471306413E-3,2.801895142E-3
1.289344896E0,-7.798507810E-3,-5.987286568E-5,7.527351379E-3
1.294217136E0,-6.140694022E-4,1.129418612E-3,5.089759827E-3
1.299089376E0,1.125841588E-2,1.067677885E-2,1.098155975E-2
1.303961667E0,-6.703138351E-3,-4.827357829E-3,-1.403713226E-2
1.308833907E0,1.597616076E-2,-1.189276949E-2,-2.050399780E-3
1.313706146E0,9.933143854E-3,-1.297845319E-2,1.221084595E-2
1.318578386E0,1.591275632E-2,-1.175343990E-2,-1.400661469E-2
1.323450626E0,-2.087861300E-3,1.566429436E-2,1.103878021E-2
1.328322865E0,2.420619130E-4,-8.205436170E-3,2.632141113E-4
1.333195105E0,1.481637359E-3,-9.292811155E-3,-9.260177612E-4
1.338067396E0,7.401004434E-3,-9.198471904E-3,5.016326904E-3
1.342939636E0,4.990756512E-3,-6.730951369E-3,6.161689758E-3
1.347811876E0,8.521355689E-3,-1.020476222E-2,9.672164917E-3
1.352684115E0,-9.257681668E-3,-4.240144044E-3,1.434040070E-2
1.357556355E0,-4.449941218E-3,5.889460444E-4,3.537178040E-3
1.362428594E0,-1.149483025E-2,1.801960170E-3,1.133918762E-3
1.367300886E0,-4.308912903E-3,3.019578755E-3,5.871772766E-3
1.372173126E0,8.839987218E-3,5.355671048E-3,1.175785065E-2
1.377045365E0,9.935595095E-3,5.502179265E-4,9.765625000E-4
1.381917605E0,-8.924007416E-4,-1.492769271E-2,2.156257629E-3
1.386789844E0,-8.739978075E-4,6.551802158E-3,-4.984855652E-3
1.391662084E0,-3.200579435E-3,-4.242543131E-3,4.553794861E-3
1.396534376E0,-1.932770014E-3,-5.435064435E-3,5.702972412E-3
1.401406615E0,1.475652307E-2,5.192235112E-4,1.040267944E-2
1.406278855E0,-3.146890551E-3,1.351673156E-2,7.942199707E-3
1.411151094E0,-4.282157868E-3,5.082257092E-3,4.315376282E-3
1.416023334E0,-6.745681167E-4,-4.425082356E-3,1.905441284E-3
1.420895573E0,8.853502572E-3,-7.976561785E-3,1.888275146E-3
1.425767865E0,1.697197556E-3,-1.624627411E-2,-1.688003540E-3
1.430640105E0,-1.881539822E-3,-1.020245254E-2,1.257133484E-2
1.435512344E0,1.692086458E-3,1.740798354E-3,-5.922317505E-4
1.440384584E0,-1.736249775E-2,5.562081933E-4,-6.522178650E-3
1.445256823E0,-5.336023867E-3,-5.352564156E-3,6.542205811E-4
1.450129063E0,2.985462546E-3,-8.852466941E-3,-5.286216736E-3
1.455001355E0,4.231125116E-3,-4.028022289E-3,-1.236629486E-2
1.459873594E0,1.373255253E-2,1.928597689E-3,1.982688904E-3
1.464745834E0,-8.940033615E-3,1.885965466E-3,-6.343841553E-3
1.469618073E0,-6.465993822E-3,-1.002715528E-2,1.626396179E-2
1.474490313E0,-2.854533494E-3,7.134079933E-4,9.006500244E-3
1.479362553E0,4.302747548E-3,1.734321564E-2,-5.655288696E-4
1.484234844E0,1.933127642E-3,6.458841264E-3,1.249790192E-2
1.489107084E0,-2.718582749E-3,-5.478039384E-3,4.082679749E-3
1.493979323E0,-2.962052822E-4,-6.646316499E-3,-6.635665894E-3
1.498851563E0,-1.103894413E-2,-4.141982645E-3,1.729965210E-3
1.503723803E0,-6.245590746E-3,-1.235680655E-2,-1.015663147E-2
1.508596042E0,-6.211243570E-3,-7.489111274E-3,-2.948760986E-3
1.513468282E0,-3.803219646E-3,-1.460194588E-3,-1.360797882E-2
1.518340573E0,3.376498818E-3,9.208798409E-3,-1.112079620E-2
1.523212813E0,2.362678200E-2,-1.937004179E-2,3.216743469E-3
1.528085053E0,1.390063018E-2,9.885281324E-4,9.125709534E-3
1.532957292E0,-2.300345525E-2,6.917849183E-3,-2.820968628E-3
1.537829532E0,-7.339514792E-3,6.833165884E-3,1.026153564E-2
1.542701771E0,6.977871060E-3,-8.624788374E-3,1.017379761E-2
1.547574011E0,-2.594579011E-3,-4.989780486E-3,5.941390991E-4
1.552446303E0,-1.331355423E-3,1.044248790E-2,-4.159927368E-3
1.557318542E0,3.497272730E-3,3.206089139E-3,-5.311012268E-3
1.562190782E0,3.406584263E-3,-6.300512701E-3,-7.641792297E-3
1.567063021E0,3.403872252E-3,-3.871761262E-3,-4.558563232E-4
1.571935261E0,-1.080024987E-2,-5.111493170E-3,1.379299164E-2
1.576807553E0,-4.447251558E-5,-1.459243521E-2,1.806259155E-3
1.581679792E0,7.060088217E-3,-7.374960929E-3,1.791954041E-3
1.586552032E0,-4.901990294E-3,1.041762531E-3,1.364803314E-2
1.591424271E0,-2.548538148E-3,-1.669823751E-2,2.850532532E-3
1.596296511E0,7.052764297E-3,-1.897441596E-2,-7.352828979E-4
1.601168751E0,5.788661540E-3,-8.101120591E-3,4.587173462E-4
1.606040990E0,5.765721202E-3,-9.086877108E-4,4.015922546E-3
1.610913230E0,9.318903089E-3,1.417234540E-3,-7.658004761E-4
1.615785521E0,1.000583172E-3,1.482218504E-4,-6.694793701E-3
1.620657761E0,2.219147980E-3,-4.555270076E-3,-9.014129639E-3
1.625530001E0,1.047776639E-2,-1.395372301E-2,-1.815795898E-3
1.630402240E0,4.422947764E-3,-1.993928105E-3,-6.549835205E-3
1.635274480E0,-5.157437176E-3,7.550414652E-3,8.936882019E-3
1.640146719E0,-2.860210836E-3,-6.711356342E-3,5.301475525E-3
1.645019011E0,1.140513271E-2,5.246449262E-3,-7.800102234E-3
1.649891251E0,1.605474949E-2,1.471621916E-2,-5.361557007E-3
1.654763490E0,1.599045843E-2,-2.052675933E-3,-1.006412506E-2
1.659635730E0,8.774861693E-3,3.872949630E-3,-4.844665527E-4
1.664507969E0,3.884881735E-4,-9.341910481E-4,-4.040718079E-3
1.669380209E0,-1.150347292E-2,7.399827242E-3,7.410049438E-4
1.674252501E0,9.956069291E-3,-1.275260374E-2,-1.641273499E-3
1.679124740E0,9.942516685E-3,-3.162350506E-3,-4.002571106E-3
1.683996980E0,6.295159459E-3,4.017494619E-3,-1.109123230E-2
1.688869219E0,7.440462708E-3,-1.919750124E-3,-3.147125244E-4
1.693741459E0,-4.452541471E-3,2.847112715E-3,2.061843872E-3
1.698613698E0,-1.986678690E-3,2.066072822E-2,2.043724060E-3
1.703485938E0,8.797474205E-3,1.096482947E-2,2.026557922E-3
1.708358230E0,-3.193497658E-3,1.448033750E-2,-1.104831696E-2
1.713230469E0,-3.213904798E-3,1.289524138E-3,-7.394790649E-3
1.718102709E0,-6.795547903E-3,-2.280063927E-3,-9.707450867E-3
1.722974948E0,3.984943032E-3,-4.676669836E-3,-8.439064026E-3
1.727847188E0,-7.420405746E-4,-1.180141419E-2,-1.074218750E-2
1.732719428E0,-7.847148925E-3,2.558439970E-3,7.153511047E-3
1.737591667E0,-2.993367612E-3,4.927974194E-3,-3.590583801E-3
1.742463959E0,1.486334950E-2,-1.057199761E-2,-2.372741699E-3
1.747336198E0,1.116037369E-2,-9.997226298E-4,-3.540992737E-3
1.752208438E0,9.920492768E-3,1.399368048E-3,3.611564636E-3
1.757080678E0,5.114905536E-3,-3.430802375E-3,1.189041138E-2
1.761952917E0,-2.068139613E-3,9.715870023E-3,-4.826545715E-3
1.766825157E0,-5.600892007E-3,1.548342407E-4,1.149177551E-3
1.771697448E0,8.629038930E-3,8.523426950E-3,-2.422332764E-3
1.776569688E0,3.703653812E-3,1.742020249E-4,7.094383240E-3
1.781441928E0,-1.407889649E-2,-1.055501401E-3,1.100540161E-3
1.786314167E0,-1.631014794E-2,1.300591975E-3,8.213043213E-3
1.791186407E0,1.122673601E-2,-5.888670683E-3,3.396987915E-3
1.796058646E0,-8.977938443E-3,2.457588911E-3,-3.753662109E-3
1.800930886E0,-4.158008844E-3,4.842203110E-3,1.026153564E-3
1.805803178E0,1.614072919E-2,-1.204118133E-3,5.764961243E-3
1.810675417E0,1.843554527E-2,-2.394050360E-3,-3.779411316E-3
1.815547657E0,1.590403169E-2,1.247674227E-3,-1.373291016E-3
1.820419896E0,9.905263782E-3,1.072154194E-2,3.385543823E-3
1.825292136E0,7.474243641E-3,1.152217388E-3,-1.207542419E-2
1.830164376E0,3.152638674E-4,7.021915168E-3,2.270698547E-3
1.835036615E0,-2.035759389E-3,6.950873882E-3,-6.058692932E-3
1.839908907E0,-9.159311652E-3,-6.177090108E-3,-7.247924805E-5
1.844781146E0,7.546916604E-3,1.049579680E-2,-3.633499146E-3
